front_left,front_right,back_right,power,efficiency
"(239.74940490722656,635.8641357421875,3.4969110629390343e-07)","(238.74940490722656,635.85888671875,3.4969110629390343e-07)","(238.77027893066406,631.85888671875,-3.4969110629390343e-07)",100000.0,0.95
"(239.74940490722656,635.8641357421875,3.4969110629390343e-07)","(238.74940490722656,635.85888671875,3.4969110629390343e-07)","(238.77027864644077,631.8589411832445,-3.496815834192432e-07)",100000.0,0.95
"(239.77027864644077,631.864190206682,-3.496815834192432e-07)","(238.77027864644077,631.8589411832445,-3.496815834192432e-07)","(238.79115238565498,627.858995647739,-1.0490542731323898e-06)",100000.0,0.95
"(239.79115238565498,627.8642446711765,-1.0490542731323898e-06)","(238.79115238565498,627.858995647739,-1.0490542731323898e-06)","(238.8120261248692,623.8590501122335,-1.7484269628455365e-06)",100000.0,0.95
"(239.8120261248692,623.864299135671,-1.7484269628455365e-06)","(238.8120261248692,623.8590501122335,-1.7484269628455365e-06)","(238.8328998640834,619.859104576728,-2.447799652558683e-06)",100000.0,0.95
"(239.8328998640834,619.8643536001655,-2.447799652558683e-06)","(238.8328998640834,619.859104576728,-2.447799652558683e-06)","(238.8537736032976,615.8591590412225,-3.1471723422718298e-06)",100000.0,0.95
"(239.8537736032976,615.86440806466,-3.1471723422718298e-06)","(238.8537736032976,615.8591590412225,-3.1471723422718298e-06)","(238.87464734251182,611.859213505717,-3.846545031984976e-06)",100000.0,0.95
"(239.87464734251182,611.8644625291545,-3.846545031984976e-06)","(238.87464734251182,611.859213505717,-3.846545031984976e-06)","(238.89552108172603,607.8592679702115,-4.545917721698123e-06)",100000.0,0.95
"(239.89552108172603,607.864516993649,-4.545917721698123e-06)","(238.89552108172603,607.8592679702115,-4.545917721698123e-06)","(238.91639482094024,603.859322434706,-5.24529041141127e-06)",100000.0,0.95
"(239.91639482094024,603.8645714581435,-5.24529041141127e-06)","(238.91639482094024,603.859322434706,-5.24529041141127e-06)","(238.93726856015445,599.8593768992005,-5.944663101124416e-06)",100000.0,0.95
"(239.93726856015445,599.864625922638,-5.944663101124416e-06)","(238.93726856015445,599.8593768992005,-5.944663101124416e-06)","(238.95814229936866,595.859431363695,-6.644035790837563e-06)",100000.0,0.95
"(239.95814229936866,595.8646803871325,-6.644035790837563e-06)","(238.95814229936866,595.859431363695,-6.644035790837563e-06)","(238.97901603858287,591.8594858281895,-7.34340848055071e-06)",100000.0,0.95
"(239.97901603858287,591.864734851627,-7.34340848055071e-06)","(238.97901603858287,591.8594858281895,-7.34340848055071e-06)","(238.99988977779708,587.859540292684,-8.042781170263856e-06)",100000.0,0.95
"(239.99988977779708,587.8647893161215,-8.042781170263856e-06)","(238.99988977779708,587.859540292684,-8.042781170263856e-06)","(239.0207635170113,583.8595947571785,-8.742153859977004e-06)",100000.0,0.95
"(240.0207635170113,583.864843780616,-8.742153859977004e-06)","(239.0207635170113,583.8595947571785,-8.742153859977004e-06)","(239.0416372562255,579.859649221673,-9.441526549690151e-06)",100000.0,0.95
"(240.0416372562255,579.8648982451105,-9.441526549690151e-06)","(239.0416372562255,579.859649221673,-9.441526549690151e-06)","(239.0625109954397,575.8597036861674,-1.0140899239403299e-05)",100000.0,0.95
"(240.0625109954397,575.864952709605,-1.0140899239403299e-05)","(239.0625109954397,575.8597036861674,-1.0140899239403299e-05)","(239.08338473465392,571.859758150662,-1.0840271929116446e-05)",100000.0,0.95
"(240.08338473465392,571.8650071740994,-1.0840271929116446e-05)","(239.08338473465392,571.859758150662,-1.0840271929116446e-05)","(239.10425847386813,567.8598126151564,-1.1539644618829594e-05)",100000.0,0.95
"(240.10425847386813,567.8650616385939,-1.1539644618829594e-05)","(239.10425847386813,567.8598126151564,-1.1539644618829594e-05)","(239.12513221308234,563.8598670796509,-1.2239017308542741e-05)",100000.0,0.95
"(240.12513221308234,563.8651161030884,-1.2239017308542741e-05)","(239.12513221308234,563.8598670796509,-1.2239017308542741e-05)","(239.14600595229655,559.8599215441454,-1.2938389998255889e-05)",100000.0,0.95
"(240.14600595229655,559.8651705675829,-1.2938389998255889e-05)","(239.14600595229655,559.8599215441454,-1.2938389998255889e-05)","(239.16687969151076,555.8599760086399,-1.3637762687969036e-05)",100000.0,0.95
"(240.16687969151076,555.8652250320774,-1.3637762687969036e-05)","(239.16687969151076,555.8599760086399,-1.3637762687969036e-05)","(239.18775343072497,551.8600304731344,-1.4337135377682184e-05)",100000.0,0.95
"(240.18775343072497,551.8652794965719,-1.4337135377682184e-05)","(239.18775343072497,551.8600304731344,-1.4337135377682184e-05)","(239.20862716993918,547.8600849376289,-1.5036508067395331e-05)",100000.0,0.95
