front_left,front_right,back_right,power,efficiency
"(-149.51622009277344,-404.9252624511719,3.4969110629390343e-07)","(-149.51881408691406,-405.9252624511719,3.4969110629390343e-07)","(-145.51881408691406,-405.9355773925781,-3.4969110629390343e-07)",40000.0,0.95
"(-1041.385009765625,-883.5026245117188,3.4969110629390343e-07)","(-1041.3876953125,-882.5026245117188,3.4969110629390343e-07)","(-1045.3876953125,-882.5128784179688,-3.4969110629390343e-07)",40000.0,0.95
"(-1218.8956298828125,-1520.9256591796875,0.0)","(-1218.8975830078125,-1521.9256591796875,0.0)","(-1214.8975830078125,-1521.9337158203125,0.0)",40000.0,0.95
"(-1539.6566162109375,165.06932067871094,3.4969110629390343e-07)","(-1539.6566162109375,166.06932067871094,3.4969110629390343e-07)","(-1543.6566162109375,166.06932067871094,-3.4969110629390343e-07)",40000.0,0.95
"(260.7912902832031,7.668263912200928,3.4969110629390343e-07)","(261.7912902832031,7.663421154022217,3.4969110629390343e-07)","(261.8106384277344,11.663373947143555,-3.4969110629390343e-07)",40000.0,0.95
"(-713.9594116210938,-992.5364990234375,3.4969110629390343e-07)","(-714.8716430664062,-992.1268310546875,3.4969110629390343e-07)","(-716.5103149414062,-995.7757568359375,-3.4969110629390343e-07)",40000.0,0.95
"(8.624398231506348,959.8242797851562,-7.279703368112678e-06)","(9.623553276062012,959.7831420898438,-7.279703368112678e-06)","(9.787976264953613,963.7797241210938,-7.979085239639971e-06)",40000.0,0.95
"(531.6203002929688,-837.3043212890625,3.4969110629390343e-07)","(531.6257934570312,-838.3043212890625,3.4969110629390343e-07)","(535.625732421875,-838.2822265625,-3.4969110629390343e-07)",40000.0,0.95
"(-1558.9130859375,-548.7620239257812,3.4969110629390343e-07)","(-1559.9130859375,-548.7600708007812,3.4969110629390343e-07)","(-1559.921142578125,-552.7600708007812,-3.4969110629390343e-07)",40000.0,0.95
"(77.8304672241211,221.06558227539062,3.4969110629390343e-07)","(77.82672882080078,220.06558227539062,3.4969110629390343e-07)","(81.82669830322266,220.0506591796875,-3.4969110629390343e-07)",40000.0,0.95
"(366.1584167480469,-1129.3836669921875,3.4969110629390343e-07)","(365.1584167480469,-1129.3873291015625,3.4969110629390343e-07)","(365.1728210449219,-1133.3873291015625,-3.4969110629390343e-07)",40000.0,0.95
"(-316.46063232421875,966.5399780273438,3.4969110629390343e-07)","(-316.45623779296875,965.5399780273438,3.4969110629390343e-07)","(-312.456298828125,965.5575561523438,-3.4969110629390343e-07)",40000.0,0.95
"(-1017.9666137695312,-179.57627868652344,0.0)","(-1016.9667358398438,-179.56455993652344,0.0)","(-1017.0136108398438,-175.56483459472656,0.0)",40000.0,0.95
"(-420.1371154785156,-1442.40869140625,3.4969110629390343e-07)","(-420.3619689941406,-1443.383056640625,3.4969110629390343e-07)","(-416.4643859863281,-1444.282470703125,-3.4969110629390343e-07)",40000.0,0.95
"(-1258.1070556640625,-533.539306640625,0.0)","(-1259.1068115234375,-533.52001953125,0.0)","(-1259.1842041015625,-537.519287109375,0.0)",40000.0,0.95
"(1002.9343872070312,-1245.645263671875,0.0)","(1002.9400024414062,-1244.645263671875,0.0)","(998.9401245117188,-1244.623046875,0.0)",40000.0,0.95
"(-323.413818359375,-1123.090576171875,0.0)","(-324.413818359375,-1123.086181640625,0.0)","(-324.43182373046875,-1127.086181640625,0.0)",40000.0,0.95
"(-79.46395111083984,1275.6175537109375,0.0)","(-80.30315399169922,1276.1612548828125,0.0)","(-82.47838592529297,1272.8043212890625,0.0)",40000.0,0.95
"(112.0889892578125,-996.6393432617188,3.4969110629390343e-07)","(113.08871459960938,-996.6627807617188,3.4969110629390343e-07)","(113.18243408203125,-992.6638793945312,-3.4969110629390343e-07)",40000.0,0.95
"(-1018.2978515625,-364.5928955078125,3.4969110629390343e-07)","(-1019.2977294921875,-364.6046142578125,3.4969110629390343e-07)","(-1019.2508544921875,-368.60430908203125,-3.4969110629390343e-07)",40000.0,0.95
"(3.1361656188964844,688.508544921875,0.0)","(4.129225254058838,688.3909912109375,0.0)","(4.599672317504883,692.36328125,0.0)",40000.0,0.95
"(1177.021240234375,-140.8242950439453,3.4969110629390343e-07)","(1177.683837890625,-141.5731964111328,3.4969110629390343e-07)","(1180.679443359375,-138.92250061035156,-3.4969110629390343e-07)",40000.0,0.95
"(1385.082763671875,679.6047973632812,3.4969110629390343e-07)","(1385.084228515625,680.6047973632812,3.4969110629390343e-07)","(1381.084228515625,680.6104125976562,-3.4969110629390343e-07)",40000.0,0.95
"(-1000.3787231445312,-885.89697265625,0.0)","(-1000.3761596679688,-886.89697265625,0.0)","(-996.3761596679688,-886.88671875,0.0)",40000.0,0.95
"(-27.642436981201172,409.9519348144531,26.35616111755371)","(-26.643016815185547,409.9859313964844,26.35616111755371)","(-26.779006958007812,413.9836120605469,26.35616111755371)",40000.0,0.95
"(1110.2325439453125,-206.43753051757812,0.0)","(1109.2337646484375,-206.48611450195312,0.0)","(1109.4281005859375,-210.48138427734375,0.0)",40000.0,0.95
"(-295.53790283203125,-978.43359375,0.0)","(-296.53790283203125,-978.43310546875,0.0)","(-296.5399169921875,-982.43310546875,0.0)",40000.0,0.95
"(807.9832763671875,6.778700828552246,0.0)","(807.9832763671875,5.778700828552246,0.0)","(811.9832763671875,5.778698921203613,0.0)",40000.0,0.95
"(-189.00039672851562,-809.81591796875,0.0)","(-189.01260375976562,-810.8157958984375,0.0)","(-185.01290893554688,-810.8646240234375,0.0)",40000.0,0.95
"(-1557.5692138671875,-259.2763977050781,3.4969110629390343e-07)","(-1558.5692138671875,-259.2814025878906,3.4969110629390343e-07)","(-1558.5491943359375,-263.2813415527344,-3.4969110629390343e-07)",40000.0,0.95
"(-11.567115783691406,626.3560180664062,0.9081904292106628)","(-10.577362060546875,626.2131958007812,0.9081904292106628)","(-10.008094787597656,630.1593627929688,0.5866642594337463)",40000.0,0.95
"(-1013.2935180664062,-819.2691040039062,0.0)","(-1014.2935180664062,-819.2588500976562,0.0)","(-1014.3347778320312,-823.2586059570312,0.0)",40000.0,0.95
"(-665.915283203125,-659.5184326171875,0.0)","(-666.915283203125,-659.5184326171875,0.0)","(-666.915283203125,-663.5184326171875,0.0)",40000.0,0.95
"(239.130615234375,-417.70831298828125,0.0)","(240.13058471679688,-417.715576171875,0.0)","(240.15963745117188,-413.7156982421875,0.0)",40000.0,0.95
"(911.3141479492188,-1081.028564453125,3.4969110629390343e-07)","(912.3139038085938,-1081.05126953125,3.4969110629390343e-07)","(912.4046020507812,-1077.05224609375,-3.4969110629390343e-07)",40000.0,0.95
